Gamename,Url,Status Code
Garena Free Fire Tournaments,https://www.game.tv/find-tournaments/garena-free-fire-spooky-night-tournaments,200
Brawl Stars Tournaments,https://www.game.tv/find-tournaments/brawl-stars-tournaments,200
Clash Royale Tournaments,https://www.game.tv/find-tournaments/clash-royale-tournaments,200
PUBG MOBILE Tournaments,https://www.game.tv/find-tournaments/pubg-mobile-tournaments,200
Call of Duty Tournaments,https://www.game.tv/find-tournaments/call-of-duty-tournaments,200
Clash of Clans Tournaments,https://www.game.tv/find-tournaments/clash-of-clans-tournaments,200
8 Ball Pool Tournaments,https://www.game.tv/find-tournaments/8-ball-pool-tournaments,200
Mobile Legends: Bang Bang Tournaments,https://www.game.tv/find-tournaments/mobile-legends-bang-bang-tournaments,200
Arena of Valor Tournaments,https://www.game.tv/find-tournaments/arena-of-valor-tournaments,200
Auto Chess Tournaments,https://www.game.tv/find-tournaments/auto-chess-tournaments,200
Rumble Stars Football Tournaments,https://www.game.tv/find-tournaments/rumble-stars-football-tournaments,200
Head Ball 2 Tournaments,https://www.game.tv/find-tournaments/head-ball-2-tournaments,200
Yu-Gi-Oh! Duel Links Tournaments,https://www.game.tv/find-tournaments/yu-gi-oh-duel-links-tournaments,200
Ludo King Tournaments,https://www.game.tv/find-tournaments/ludo-king-tournaments,200
Hearthstone Tournaments,https://www.game.tv/find-tournaments/hearthstone-tournaments,200
World Cricket Championship 2 - WCC2 Tournaments,https://www.game.tv/find-tournaments/world-cricket-championship-2-wcc2-tournaments,200
Dota Underlords Tournaments,https://www.game.tv/find-tournaments/dota-underlords-tournaments,200
Fortnite Tournaments,https://www.game.tv/find-tournaments/fortnite-tournaments,200
Chess Rush Tournaments,https://www.game.tv/find-tournaments/chess-rush-tournaments,200
FIFA Soccer Tournaments,https://www.game.tv/find-tournaments/fifa-soccer-tournaments,200
